Code du niveau;Libellé du niveau;Etat saisie;Inscrits;Abstentions;% Abs/Ins;Votants;% Vot/Ins;Blancs;% Blancs/Ins;% Blancs/Vot;Nuls;% Nuls/Ins;% Nuls/Vot;Exprimés;% Exp/Ins;% Exp/Vot;N°Panneau;Sexe;Nom;Prénom;Voix;% Voix/Ins;% Voix/Exp
FE;France entière;Complet;48747876;12824169;26,31;35923707;73,69;543609;1,12;1,51;247151;0,51;0,69;35132947;72,07;97,8;1;F;ARTHAUD;Nathalie;197094;0,4;0,56
FE;France entière;Complet;48747876;12824169;26,31;35923707;73,69;543609;1,12;1,51;247151;0,51;0,69;35132947;72,07;97,8;2;M;ROUSSEL;Fabien;802422;1,65;2,28
FE;France entière;Complet;48747876;12824169;26,31;35923707;73,69;543609;1,12;1,51;247151;0,51;0,69;35132947;72,07;97,8;3;M;MACRON;Emmanuel;9783058;20,07;27,85
FE;France entière;Complet;48747876;12824169;26,31;35923707;73,69;543609;1,12;1,51;247151;0,51;0,69;35132947;72,07;97,8;4;M;LASSALLE;Jean;1101387;2,26;3,13
FE;France entière;Complet;48747876;12824169;26,31;35923707;73,69;543609;1,12;1,51;247151;0,51;0,69;35132947;72,07;97,8;5;F;LE PEN;Marine;8133828;16,69;23,15
FE;France entière;Complet;48747876;12824169;26,31;35923707;73,69;543609;1,12;1,51;247151;0,51;0,69;35132947;72,07;97,8;6;M;ZEMMOUR;Éric;2485226;5,1;7,07
FE;France entière;Complet;48747876;12824169;26,31;35923707;73,69;543609;1,12;1,51;247151;0,51;0,69;35132947;72,07;97,8;7;M;MÉLENCHON;Jean-Luc;7712520;15,82;21,95
FE;France entière;Complet;48747876;12824169;26,31;35923707;73,69;543609;1,12;1,51;247151;0,51;0,69;35132947;72,07;97,8;8;F;HIDALGO;Anne;616478;1,26;1,75
FE;France entière;Complet;48747876;12824169;26,31;35923707;73,69;543609;1,12;1,51;247151;0,51;0,69;35132947;72,07;97,8;9;M;JADOT;Yannick;1627853;3,34;4,63
FE;France entière;Complet;48747876;12824169;26,31;35923707;73,69;543609;1,12;1,51;247151;0,51;0,69;35132947;72,07;97,8;10;F;PÉCRESSE;Valérie;1679001;3,44;4,78
FE;France entière;Complet;48747876;12824169;26,31;35923707;73,69;543609;1,12;1,51;247151;0,51;0,69;35132947;72,07;97,8;11;M;POUTOU;Philippe;268904;0,55;0,77
FE;France entière;Complet;48747876;12824169;26,31;35923707;73,69;543609;1,12;1,51;247151;0,51;0,69;35132947;72,07;97,8;12;M;DUPONT-AIGNAN;Nicolas;725176;1,49;2,06
